Name,Set,Color,ColorID,Type,Subtype,CMC,Rarity,Text,Keywords,Power,Toughness,Printings,Layout,Side
Acclaimed Contender,ELD,W,W,Creature,"Human, Knight",3,Rare,"When Acclaimed Contender enters the battlefield, if you control another Knight, look at the top five cards of your library. You may reveal a Knight, Aura, Equipment, or legendary artifact card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",,3,3,"ELD, PELD",Normal,
All That Glitters,ELD,W,W,Enchantment,Aura,2,Uncommon,"Enchant creature
Enchanted creature gets +1/+1 for each artifact and/or enchantment you control.",Enchant,,,ELD,Normal,
Archon of Absolution,ELD,W,W,Creature,Archon,4,Uncommon,"Flying
Protection from white (This creature can't be blocked, targeted, dealt damage, enchanted, or equipped by anything white.)
Creatures can't attack you or planeswalkers you control unless their controller pays {1} for each of those creatures.","Flying, Protection",3,2,ELD,Normal,
Ardenvale Paladin,ELD,W,W,Creature,"Human, Knight",4,Common,"Adamant — If at least three white mana was spent to cast this spell, Ardenvale Paladin enters the battlefield with a +1/+1 counter on it.",Adamant,2,5,ELD,Normal,
Ardenvale Tactician // Dizzying Swoop,ELD,W,W,Creature,"Human, Knight",3,Common,Flying,Flying,2,3,"ELD, PRM",Adventure,a
Ardenvale Tactician // Dizzying Swoop,ELD,W,W,Instant,Adventure,3,Common,Tap up to two target creatures. (Then exile this card. You may cast the creature later from exile.),,,,"ELD, PRM",Adventure,b
Bartered Cow,ELD,W,W,Creature,Ox,4,Common,"When Bartered Cow dies or when you discard it, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")",,3,3,"ELD, MB1",Normal,
Beloved Princess,ELD,W,W,Creature,"Human, Noble",1,Common,"Lifelink
Beloved Princess can't be blocked by creatures with power 3 or greater.",Lifelink,1,1,ELD,Normal,
Charming Prince,ELD,W,W,Creature,"Human, Noble",2,Rare,"When Charming Prince enters the battlefield, choose one —
• Scry 2.
• You gain 3 life.
• Exile another target creature you own. Return it to the battlefield under your control at the beginning of the next end step.",Scry,2,2,"ELD, PELD",Normal,
The Circle of Loyalty,ELD,W,W,Artifact,,6,Mythic,"This spell costs {1} less to cast for each Knight you control.
Creatures you control get +1/+1.
Whenever you cast a legendary spell, create a 2/2 white Knight creature token with vigilance.
{3}{W}, {T}: Create a 2/2 white Knight creature token with vigilance.",,,,"ELD, PELD",Normal,
Deafening Silence,ELD,W,W,Enchantment,,1,Uncommon,Each player can't cast more than one noncreature spell each turn.,,,,ELD,Normal,
Faerie Guidemother // Gift of the Fae,ELD,W,W,Creature,Faerie,1,Common,Flying,Flying,1,1,"ELD, PRM",Adventure,a
Faerie Guidemother // Gift of the Fae,ELD,W,W,Sorcery,Adventure,1,Common,Target creature gets +2/+1 and gains flying until end of turn. (Then exile this card. You may cast the creature later from exile.),Flying,,,"ELD, PRM",Adventure,b
Flutterfox,ELD,W,W,Creature,Fox,2,Common,"As long as you control an artifact or enchantment, Flutterfox has flying.",,2,2,ELD,Normal,
Fortifying Provisions,ELD,W,W,Enchantment,,3,Common,"Creatures you control get +0/+1.
When Fortifying Provisions enters the battlefield, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")",,,,ELD,Normal,
Giant Killer // Chop Down,ELD,W,W,Creature,"Human, Peasant",1,Rare,"{1}{W}, {T}: Tap target creature.",,1,2,"ELD, PELD, PRM",Adventure,a
Giant Killer // Chop Down,ELD,W,W,Instant,Adventure,1,Rare,Destroy target creature with power 4 or greater. (Then exile this card. You may cast the creature later from exile.),,,,"ELD, PELD, PRM",Adventure,b
Glass Casket,ELD,W,W,Artifact,,2,Uncommon,"When Glass Casket enters the battlefield, exile target creature an opponent controls with mana value 3 or less until Glass Casket leaves the battlefield.",,,,ELD,Normal,
Happily Ever After,ELD,W,W,Enchantment,,3,Rare,"When Happily Ever After enters the battlefield, each player gains 5 life and draws a card.
At the beginning of your upkeep, if there are five colors among permanents you control, there are six or more card types among permanents you control and/or cards in your graveyard, and your life total is greater than or equal to your starting life total, you win the game.",,,,"ELD, PELD",Normal,
Harmonious Archon,ELD,W,W,Creature,Archon,6,Mythic,"Flying
Non-Archon creatures have base power and toughness 3/3.
When Harmonious Archon enters the battlefield, create two 1/1 white Human creature tokens.",Flying,4,5,"ELD, PELD",Normal,
Hushbringer,ELD,W,W,Creature,Faerie,2,Rare,"Flying, lifelink
Creatures entering the battlefield or dying don't cause abilities to trigger.","Flying, Lifelink",1,2,"ELD, PELD",Normal,
Knight of the Keep,ELD,W,W,Creature,"Human, Knight",3,Common,,,3,2,ELD,Normal,
"Linden, the Steadfast Queen",ELD,W,W,Creature,"Human, Noble",3,Rare,"Vigilance
Whenever a white creature you control attacks, you gain 1 life.",Vigilance,3,3,"ELD, PELD",Normal,
